"","statusesCount","followersCount","friendsCount","flag","logFollowersCount","logStatusesCount","logFriendsCount","cluster"
"80",4000,234,293,1,5.4553211153577,8.29404964010203,5.68017260901707,3
"81",112,63,174,1,4.14313472639153,4.71849887129509,5.15905529921453,2
"82",2712,159,86,1,5.06890420222023,7.90544164906029,4.45434729625351,5
"83",17796,382,558,1,5.94542060860658,9.78672899192593,6.32435896238131,3
"84",13727,440,153,1,6.08677472691231,9.52711997525166,5.03043792139244,3
"85",10709,238,139,1,5.47227067367148,9.27883978840087,4.93447393313069,3
"86",2844,407,584,1,6.00881318544259,7.95296679092313,6.36990098282823,3
"87",21860,589,683,1,6.37842618365159,9.99241376173053,6.52649485957079,3
"88",5309,108,343,1,4.68213122712422,8.57715877258367,5.83773044716594,3
"89",2266,181,380,1,5.19849703126583,7.72577144158795,5.94017125272043,5
"90",70,496,582,1,6.20657592672493,4.24849524204936,6.36647044773144,2
"91",2852,5331,657,1,8.58129411682276,7.95577578153419,6.48768401848461,4
"92",1069,2125,25,1,7.66152708135852,6.97447891102505,3.2188758248682,3
"93",5120,4867,230,1,8.49023300983345,8.54090971803355,5.4380793089232,4
"94",14786,2309,745,1,7.7445698093545,9.60143606611705,6.61338421837956,3
"95",72,88,16,1,4.47733681447821,4.27666611901606,2.77258872223978,2
"96",3646,191,182,1,5.25227342804663,8.20138595523861,5.2040066870768,3
"97",7848,369,280,1,5.91079664404053,8.9680140012452,5.63478960316925,3
"98",2492,128,421,1,4.85203026391962,7.82084087990734,6.04263283368238,5
"99",16409,449,560,1,6.10702288774225,9.70558524377515,6.32793678372919,3
"100",10576,966,289,1,6.87316383421252,9.26634256209147,5.66642668811243,3
"101",729,228,385,1,5.42934562895444,6.59167373200866,5.95324333428778,5
"102",6359,39185054,3,1,17.4838059565465,8.75762641126741,1.09861228866811,1
"103",45364,522461,839,1,13.166305618887,10.7224741179352,6.73221070646721,1
"104",2683,366,866,1,5.90263333340137,7.89469085042562,6.76388490856244,3
"105",2497,206,130,1,5.32787616878958,7.82284529027977,4.86753445045558,5
"106",11974,39458,3930,1,10.5829920940549,9.3904929114853,8.27639470486331,4
"107",28127,2803,595,1,7.93844555116479,10.2444852480896,6.38856140554563,3
"108",29586,982304,14,1,13.7976561117304,10.2950565554522,2.63905732961526,1
"109",13899,3567064,335410,1,15.0872534064285,9.53957217408476,12.7231089430729,1
"110",7385,181449,20,1,12.1087299014659,8.90720619496548,2.99573227355399,4
"111",59477,866,196,1,6.76388490856244,10.9933449621804,5.27811465923052,3
"112",67904,3639881,142,1,15.1074615467708,11.1258502219737,4.95582705760126,1
"113",16387,3323529,603,1,15.0165377281666,9.70424361654622,6.40191719672719,1
"114",87464,410108,2574,1,12.9241758186271,11.3789825591143,7.85321638815607,1
"115",38443,1855153,91,1,14.4334777304068,10.5569319037435,4.51085950651685,1
"116",15873,5261998,1737,1,15.4760213604987,9.67237483157224,7.4599147662411,1
"117",4704,158,399,1,5.06259503302697,8.45616848957846,5.98896141688986,3
"118",22172,64000,237,1,11.0666383623418,10.0065855105397,5.46806014113513,4
"119",301,86,235,1,4.45434729625351,5.70711026474888,5.45958551414416,5
"120",48357,2154471,502,1,14.5830557757479,10.786366268065,6.21860011969173,1
"121",1364,172,143,1,5.14749447681345,7.21817683840341,4.96284463025991,5
"122",19157,168551,609,1,12.0349936536022,9.8604234630651,6.4118182677099,4
"123",619,363,455,1,5.89440283426485,6.4281052726846,6.12029741895095,5
"124",32899,62487,1895,1,11.0427138140895,10.4011975411547,7.54697411751653,4
"125",29956,94740,557,1,11.4588915764777,10.3074849173693,6.32256523992728,4
"126",6489,12096,120,1,9.40063009841931,8.77786371462117,4.78749174278205,4
"127",1861,241,549,1,5.48479693349065,7.52886925664225,6.30809844150953,5
"128",250,53,99,1,3.97029191355212,5.52146091786225,4.59511985013459,5
"129",85255,1361333,326,1,14.1239749247406,11.3534020444523,5.78689738136671,1
"130",6,74,76,1,4.30406509320417,1.79175946922805,4.33073334028633,2
"131",74,122,11,1,4.80402104473326,4.30406509320417,2.39789527279837,2
"132",8968,130614,2459,1,11.780001687629,9.101417964752,7.80751004221619,4
"133",31,41,37,1,3.71357206670431,3.43398720448515,3.61091791264422,2
"134",282,241,795,1,5.48479693349065,5.64190707093811,6.67834211465433,5
"135",3297,187,150,1,5.23110861685459,8.10076824307173,5.01063529409626,3
"136",521,81,114,1,4.39444915467244,6.25575004175337,4.7361984483945,5
"137",1067,102,148,1,4.62497281328427,6.97260625130175,4.99721227376411,5
"138",21007,764340,18325,1,13.5467679953319,9.95261099449568,9.81602152675485,1
"139",14004,419,244,1,6.03787091992214,9.54709828207456,5.4971682252932,3
"140",313883,185644,39145,1,12.1315861402033,12.6567755839885,10.575027979342,1
"141",33536,994362,906,1,13.8098566044501,10.4203747676807,6.80903930604298,1
"142",1835995,4856965,98,1,15.3959243152076,14.4230971268473,4.58496747867057,1
"143",13602,238,142,1,5.47227067367148,9.51797211973558,4.95582705760126,3
"144",2672,367,723,1,5.90536184805457,7.89058253465654,6.58340922215876,3
"145",1251866,3081535,366232,1,14.9409384074248,14.0401457961602,12.811022291348,1
"146",803395,3561629,143433,1,15.0857285824381,13.596601777338,11.8736233061959,1
"147",10585,798997,212,1,13.591112470048,9.26719318356897,5.35658627467201,1
"148",47220,602000,257802,1,13.308012724291,10.7625728106395,12.459947127409,1
"149",5975,246,168,1,5.50533153593236,8.69533937679971,5.12396397940326,3
"150",3637,738,926,1,6.60394382460047,8.19891444498699,6.83087423464618,3
"151",12,63,121,1,4.14313472639153,2.484906649788,4.79579054559674,2
"152",8563,168,115,1,5.12396397940326,9.05520587502619,4.74493212836325,3
"153",6801,2203,795,1,7.69757534680234,8.82482493917564,6.67834211465433,3
"154",3723,4645,684,1,8.44354665124794,8.22228507387272,6.52795791762255,4
"155",1277,99,179,1,4.59511985013459,7.15226885603254,5.18738580584075,5
"156",20016,16557,12034,1,9.71456425210761,9.90428723270669,9.3954912557803,4
"157",11439,515092,13233,1,13.1521008044682,9.34478384852567,9.49046898877305,1
"158",811101,2700977,106329,1,14.8091241173738,13.6061478629513,11.5742933399174,1
"159",1602,680892,903,1,13.4311589822465,7.3790081276283,6.80572255341699,4
"160",982,162,291,1,5.08759633523238,6.88959130835447,5.67332326717149,5
"161",717484,3601185,3328,1,15.0967735159295,13.4835059267157,8.1101268019411,1
"162",12569,245477,7628,1,12.4109585354735,9.43898874392484,8.93958096672031,4
"163",3855,148,117,1,4.99721227376411,8.25712628599743,4.76217393479776,3
"164",1560,30725,476,1,10.3328319344342,7.35244110024358,6.16541785423142,4
"165",3179,425,502,1,6.05208916892442,8.0643219609108,6.21860011969173,3
"166",1722,143,136,1,4.96284463025991,7.45124168498768,4.91265488573605,5
"167",10546,316,196,1,5.75574221358691,9.26350192009041,5.27811465923052,3
"168",3316,200,266,1,5.29831736654804,8.10651451625519,5.5834963087817,3
"169",1202,85,88,1,4.44265125649032,7.09174211509515,4.47733681447821,5
"170",23,30,484,1,3.40119738166216,3.13549421592915,6.18208490671663,2
"171",1395,72,65,1,4.27666611901606,7.24064969425547,4.17438726989564,5
"172",15571,291,272,1,5.67332326717149,9.65316548884143,5.605802066296,3
"173",5479,240,232,1,5.48063892334199,8.60867788153842,5.44673737166631,3
"174",22121,62330,54499,1,11.0401981298029,10.004282662571,10.9059376318591,4
"175",25801,92506,87277,1,11.4350287862617,10.1581685298485,11.3768422477806,4
"176",13074,641,284,1,6.46302945692067,9.47838080417267,5.64897423816121,3
"177",10587,11592,4779,1,9.35807048400052,9.26738211234338,8.47198659857816,4
"178",320,58,86,1,4.06044301054642,5.76832099579377,4.45434729625351,5
"179",9524,566,180,1,6.33859407820318,9.16157020760675,5.19295685089021,3
"180",9246,10256,176,1,9.23561817916045,9.13194630454817,5.17048399503815,4
"181",2665,61550,3520,1,11.0276051316126,7.88795933659994,8.16621626859214,4
"182",16160,218,229,1,5.38449506278909,9.69029433207509,5.43372200355424,3
"183",435,96,218,1,4.56434819146784,6.07534603108868,5.38449506278909,5
"184",10188,1474,340,1,7.29573507274928,9.22896583609935,5.82894561761021,3
"185",6749,55326,696,1,10.9209982397672,8.81714962474341,6.54534966033442,4
"186",11971,271967,603,1,12.5134360143884,9.39024233725137,6.40191719672719,4
"187",2132,94,249,1,4.54329478227,7.66481578528574,5.51745289646471,5
"188",2824,291,419,1,5.67332326717149,7.94590959861313,6.03787091992214,3
"189",25291,19336,314,1,9.86972392238332,10.138203880203,5.74939298590825,4
"190",69,76,25,1,4.33073334028633,4.23410650459726,3.2188758248682,2
"191",20683,386,370,2,5.95583736946483,9.93706738579932,5.91350300563827,3
"192",5,11,38,2,2.39789527279837,1.6094379124341,3.63758615972639,2
"193",35273,806,493,2,6.69208374250663,10.4708730777359,6.20050917404269,3
"194",8978,739,577,1,6.6052979209482,9.10253241934188,6.3578422665081,3
"195",684,44,478,2,3.78418963391826,6.52795791762255,6.16961073249146,5
"196",3,3,14,2,1.09861228866811,1.09861228866811,2.63905732961526,2
"197",10005,317,481,2,5.75890177387728,9.21084024701783,6.17586727010576,3
"198",10683,520,623,2,6.25382881157547,9.27640897194589,6.43454651878745,3
"199",6800,267,1020,2,5.58724865840025,8.8246778911642,6.92755790627832,3
"200",4436,76,168,2,4.33073334028633,8.39750834847026,5.12396397940326,5
"201",230,12,71,2,2.484906649788,5.4380793089232,4.26267987704132,5
"202",1790,304,1012,2,5.71702770140622,7.4899708988348,6.91968384984741,5
"203",10187,636,1167,2,6.45519856334012,9.22886767659007,7.06219163228656,3
"204",259,52,136,2,3.95124371858143,5.55682806169954,4.91265488573605,5
"205",6849,1428,304,1,7.26403014289953,8.83185793519791,5.71702770140622,3
"206",1827,97,328,1,4.57471097850338,7.51043055637801,5.79301360838414,5
"207",1634,178,324,2,5.18178355029209,7.39878627541995,5.78074351579233,5
"208",462,141,112,2,4.94875989037817,6.13556489108174,4.71849887129509,5
"209",455261,953843,141438,2,13.7682543666566,13.028626159846,11.8596167375,1
"210",4906,102603,1036,1,11.5386224510574,8.49821422481843,6.94312242281943,4
"211",112,63,174,2,4.14313472639153,4.71849887129509,5.15905529921453,2
"212",7535,171,678,2,5.14166355650266,8.9273141110606,6.5191472879404,3
"213",3465,166,412,2,5.11198778835654,8.150467911624,6.02102334934953,3
"214",21924,1041705,196,1,13.8563693518074,9.99533720616601,5.27811465923052,1
"215",4762,459,904,2,6.12905021006055,8.46842302704681,6.80682936039218,3
"216",5997,293,196,2,5.68017260901707,8.69901462316851,5.27811465923052,3
"217",9052,1360,1123,2,7.2152399787301,9.11074100675343,7.02375895473844,3
"218",28470,1463,995,2,7.28824440102012,10.2566061802721,6.90274273715859,3
"219",13516,303,217,1,5.71373280550937,9.51162944783418,5.37989735354046,3
"220",31005,646,262,2,6.4707995037826,10.341903760784,5.5683445037611,3
"221",2869,144,291,2,4.969813299576,7.96171881598136,5.67332326717149,5
"222",26,38,55,2,3.63758615972639,3.25809653802148,4.00733318523247,2
"223",1238,179,1810,2,5.18738580584075,7.12125245324454,7.50108212425987,5
"224",12900,582,730,2,6.36647044773144,9.46498259034976,6.59304453414244,3
"225",21966,82765,149,1,11.3237605456943,9.99725108234829,5.00394630594546,4
"226",18212,524,903,2,6.26149168432104,9.80983599645467,6.80572255341699,3
"227",186,35,51,2,3.55534806148941,5.2257466737132,3.93182563272433,5
"228",4133,147,302,2,4.99043258677874,8.32675881451173,5.71042701737487,3
"229",2167,100,113,2,4.60517018598809,7.68109900153636,4.72738781871234,5
"230",1166,128,190,1,4.85203026391962,7.06133436691044,5.24702407216049,5
"231",8632,420,146,2,6.04025471127741,9.06323150693797,4.98360662170834,3
"232",11095,6898,449,2,8.83898679349679,9.3142498353667,6.10702288774225,4
"233",47715,981,1130,2,6.88857245956536,10.7730010928514,7.02997291170639,3
