"","Row.names","Usuario1","Usuario2","Usuario3","Usuario4","Usuario5"
"378","celebrate",1,1,2,1,0
"379","central",0,1,0,2,0
"380","centro",0,0,1,5,0
"381","centros",1,0,0,1,0
"382","cercano",0,0,2,2,0
"383","cero",0,0,0,1,1
"384","cerveza",1,0,6,1,0
"385","cest",0,0,0,1,1
"386","cha",1,0,1,0,0
"387","chacao",1,0,0,0,1
"388","chacon",0,1,0,2,0
"389","chamada",1,0,0,1,0
"390","chanel",1,0,0,2,0
"391","chavista",0,0,6,0,1
"392","che",2,0,0,0,5
"393","cheap",0,0,1,0,1
"394","check",2,0,0,3,0
"395","chevere",0,1,0,0,1
"396","chiave",2,0,0,0,1
"397","chico",2,0,0,0,3
"398","chicos",1,0,1,0,0
"399","child",1,0,1,0,0
"400","children",3,1,6,2,1
"401","chile",5,0,6,5,0
"402","chingo",0,0,0,1,1
"403","chispotear",1,1,0,0,0
"404","chiste",0,0,17,1,1
"405","chose",0,0,1,1,0
"406","christian",2,0,0,1,2
"407","ci",2,0,0,0,1
"408","cielo",1,0,1,0,0
"409","ciencias",2,29,2,0,0
"410","cientos",1,1,0,0,0
"411","cierto",6,4,6,6,4
"412","cifra",0,1,0,1,0
"413","cima",0,0,1,2,0
"414","cinco",0,1,1,0,0
"415","cine",1,0,3,0,6
"416","circomega",5,2,6,3,1
"417","city",1,0,0,3,2
"418","ciudad",3,0,1,3,0
"419","ciudades",0,1,0,0,1
"420","civil",1,0,1,0,0
"421","claro",2,1,2,4,1
"422","clase",0,0,1,0,2
"423","claudio",0,0,2,0,1
"424","click",1,1,0,1,1
"425","clientes",1,0,0,0,2
"426","clip",0,0,0,2,1
"427","club",2,0,3,3,1
"428","clubes",1,0,0,0,1
"429","cne",1,2,0,2,2
"430","co„",0,0,1,0,1
"431","coca",1,0,6,0,0
"432","coche",0,0,1,0,1
"433","code",0,0,2,0,1
"434","cody",0,1,0,1,1
"435","coking",1,0,0,1,1
"436","col",1,0,6,0,2
"437","colaboraci„n",0,0,2,1,2
"438","cola",9,1,1,0,0
"439","colaborando",1,0,0,1,0
"440","colectiva",2,0,0,0,1
"441","colectivo",0,0,4,0,1
"442","colectivos",0,1,2,0,0
"443","colegio",0,2,1,1,0
"444","colmo",1,1,0,0,0
"445","colombia",0,1,0,1,0
"446","color",0,0,0,5,1
"447","colores",1,0,0,1,2
"448","com„n",0,0,6,0,1
"449","come„ar",0,0,0,1,1
"450","come",0,0,0,1,6
"451","comensales",1,0,0,1,0
"452","coment",0,0,6,1,0
"453","comenta",1,0,0,1,0
"454","comentario",0,0,9,5,1
"455","comentarios",1,1,2,0,0
"456","coments",1,0,0,2,0
"457","comenzar",1,0,1,0,0
"458","comenzÛ",1,2,0,0,0
"459","comer",4,0,0,3,2
"460","comercial",0,0,1,3,0
"461","cometemos",0,1,0,6,1
"462","comics",1,0,0,0,1
"463","comida",2,0,7,4,2
"464","comienzan",0,1,0,1,0
"465","coming",0,0,6,2,0
"466","cÛmo",3,3,0,0,0
"467","comp„Årtelo",0,0,8,0,1
"468","compartan",2,1,0,1,0
"469","comparte",6,3,3,22,11
"470","comp„rtela",0,0,0,1,1
"471","compartelo",1,0,0,0,1
"472","comp·rtelo",4,3,0,0,0
"473","comp„rtelo",0,0,0,3,1
"474","comparten",0,1,1,0,0
"475","compartido",1,0,0,1,1
"476","compartir",8,59,1,3,5
"477","compartirlo",0,0,1,1,0
"478","comparto",2,0,0,0,1
"479","compasiÛn",1,1,0,0,0
"480","competencia",0,1,0,0,1
"481","competitivo",1,0,0,1,0
"482","complejo",1,0,0,1,0
"483","complemento",0,0,2,1,0
"484","completa",1,1,0,1,1
"485","completamente",1,0,0,0,1
"486","completo",4,2,1,3,4
"487","complicado",0,0,0,1,1
"488","comprar",0,3,0,2,3
"489","compras",0,1,0,1,0
"490","comprobado",2,0,0,0,1
"491","comunidad",2,0,1,7,0
"492","comunidades",0,0,6,3,0
"493","comunista",1,0,0,1,0
"494","concept",1,0,0,1,0
"495","concierto",1,0,1,4,0
"496","condiciones",1,0,2,0,0
"497","conductor",0,0,12,0,1
"498","conforman",0,1,0,1,1
"499","congregaci„n",0,0,1,0,2
"500","conmigo",1,0,1,6,1
"501","conoce",2,1,2,0,1
"502","conocer",2,3,2,0,1
"503","conocimiento",1,0,1,0,1
"504","consejo",0,1,0,0,1
"505","consejos",1,0,1,1,0
"506","contacto",0,1,0,2,1
"507","contar",0,1,7,1,1
"508","contarlo",0,0,1,0,1
"509","contenido",2,1,0,1,4
"510","content",1,0,0,1,0
"511","contento",0,0,2,1,0
"512","contiene",1,0,0,1,0
"513","contigo",4,1,12,2,0
"514","contrario",1,0,1,0,0
"515","control",2,1,0,2,0
"516","convertido",0,0,6,1,0
"517","convicciÛn",2,1,0,0,0
"518","conviene",0,0,1,0,1
"519","copa",3,2,9,5,4
"520","coraz„n",0,0,24,2,3
"521","corazÛn",7,1,0,0,0
"522","corina",1,0,0,3,0
"523","corona",1,0,0,0,1
"524","corre",0,1,0,1,1
"525","correcta",2,0,0,5,0
"526","correr",2,1,0,0,1
"527","corresponsal",0,1,0,1,0
"528","corriendo",1,0,0,2,0
"529","corriente",1,28,1,0,1
"530","corrupciÛn",1,1,0,0,0
"531","corruptos",0,1,0,0,1
"532","cosa",1,0,6,4,1
"533","cosas",13,4,20,9,4
"534","costo",0,0,1,2,0
"535","cover",0,0,0,3,2
"536","crea",2,1,0,1,0
"537","creador",1,0,0,1,1
"538","crear",0,2,1,1,0
"539","created",0,0,1,1,0
"540","creative",1,0,0,0,1
"541","crece",0,0,6,1,0
"542","credit",1,2,1,3,4
"543","crÈditos",1,2,0,0,0
"544","cremas",0,1,0,1,0
"545","creo",4,0,1,0,0
"546","crer",3,0,0,1,4
"547","cres",1,1,1,0,1
"548","criollo",2,0,0,1,0
"549","crisis",1,2,0,0,1
"550","cristian",1,29,1,0,0
"551","cristiana",2,0,11,0,0
"552","cristo",1,27,19,1,0
"553","crowd",0,0,0,1,1
"554","cruel",0,1,0,0,1
"555","cruz",0,0,6,1,0
"556","csm",4,1,0,2,2
"557","cuadro",1,0,6,0,0
"558","cualquier",2,1,6,2,0
"559","cualquiera",0,0,8,0,1
"560","cuantas",0,0,8,1,1
"561","cuanto",2,0,0,1,3
"562","cu„nto",0,0,1,1,2
"563","cuantos",0,1,0,0,1
"564","cuarto",1,0,1,1,0
"565","cuatro",5,0,2,0,0
"566","cubiertas",0,1,0,1,1
"567","cucharadas",5,0,0,0,1
"568","cucharadita",2,0,0,1,0
"569","cuenta",4,7,16,1,1
"570","cuentas",0,0,0,1,1
"571","cuerpo",6,2,0,4,2
"572","cuerpos",1,0,0,1,1
"573","cuestiÛn",4,1,0,0,0
"574","cuidados",0,1,0,0,1
"575","cuidar",0,0,3,1,0
"576","culon",0,1,0,1,1
"577","culpa",0,0,6,3,0
"578","culpables",2,0,1,0,0
"579","cultura",0,0,2,0,2
"580","cumpleaÒos",2,1,0,0,0
"581","cumplieron",0,1,0,1,0
"582","cumplir",0,1,0,1,1
"583","cura",3,0,1,0,0
"584","curar",2,0,1,0,0
"585","curiosidades",1,0,7,0,1
"586","curioso",0,1,0,1,0
"587","cute",1,29,0,0,1
"588","cv",2,0,0,1,0
"589","da",2,2,30,5,13
"590","d„",0,0,41,21,18
"591","da„",0,0,3,1,0
"592","dado",1,0,1,2,1
"593","daily",0,1,0,0,1
"594","d„lar",0,0,1,2,0
"595","dale",2,2,0,10,9
"596","damos",0,0,14,1,0
"597","dan",2,0,0,0,5
"598","dance",0,0,0,1,4
"599","dando",1,1,0,1,2
"600","daniel",0,0,1,0,1
"601","dar",2,0,15,1,0
"602","darklord",0,0,0,1,1
"603","darle",5,34,7,4,15
"604","darwing",0,1,0,0,2
"605","das",4,0,0,1,3
"606","data",0,0,1,1,0
"607","dato",1,0,0,1,0
"608","datos",0,1,1,0,0
"609","david",2,0,0,0,6
"610","davidcomedia",0,0,0,1,1
"611","day",5,0,7,2,1
"612","days",1,0,0,0,1
"613","",0,0,0,1,1
"614","ÒÜ",0,0,0,1,1
"615","debate",0,0,1,0,1
"616","debemos",0,0,1,1,0
"617","deben",0,1,0,1,2
"618","deber„",0,0,0,1,1
"619","deberÌamos",1,1,0,0,0
"620","debe",0,2,0,1,0
"621","deberes",0,1,0,1,1
"622","debes",2,0,0,0,1
"623","debilidades",1,0,2,0,0
"624","debo",1,0,0,3,0
"625","dec„",0,0,2,0,1
"626","decidi„",0,0,8,1,0
"627","decimos",1,0,1,0,0
"628","decir",2,0,1,8,3
"629","declaraciones",1,0,1,0,0
"630","dedo",0,0,0,1,1
"631","dedos",6,0,0,0,1
"632","defensa",0,0,14,0,1
"633","deja",2,29,8,2,0
"634","dejan",0,0,0,2,1
"635","dejar",2,2,3,2,2
"636","dejes",1,0,1,1,0
"637","dejo",5,0,0,2,0
"638","delante",0,0,1,2,0
"639","demanda",1,1,0,1,0
"640","demas",0,1,0,0,1
"641","dem„s",0,0,3,2,2
"642","demasiado",2,0,3,3,4
"643","democracia",2,0,6,1,0
"644","democrats",1,0,0,0,1
"645","demuestra",1,0,1,6,0
"646","den",2,0,0,1,0
"647","dentro",1,1,0,0,1
"648","denuncia",0,0,4,3,0
"649","dep",0,1,0,4,3
"650","depender",1,0,0,0,1
"651","deporte",3,0,0,1,0
"652","derecha",0,0,8,0,1
"653","derecho",3,2,2,1,0
"654","derechos",1,1,2,1,1
"655","des",3,0,0,0,1
"656","desabastecimiento",1,2,0,1,0
"657","desactiva",0,0,0,1,1
"658","desarrollador",0,1,0,1,0
"659","desarrollo",0,2,1,4,0
"660","descaro",2,0,0,1,1
"661","deseo",1,0,0,1,0
"662","design",1,0,0,0,1
"663","desprecio",0,0,1,0,1
"664","despu„s",0,0,11,2,2
"665","despues",2,0,0,6,0
"666","despuÈs",1,1,0,0,0
"667","detalles",0,0,0,1,2
"668","detenerla",0,0,0,1,1
"669","detr„s",0,0,1,1,0
"670","deviantart",1,0,1,0,0
"671","di",2,0,1,0,15
"672","dia",4,0,2,0,5
"673","dÌa",18,12,0,0,0
"674","diana",0,1,0,1,0
"675","diario",5,0,0,0,2
"676","dÌas",8,2,0,0,0
"677","dias",2,1,0,1,1
"678","dibujar",1,0,0,1,0
"679","dibujos",0,2,0,1,0
"680","dice",6,0,2,6,3
"681","dicen",1,1,0,1,0
"682","dicho",0,0,1,1,0
"683","diciendo",1,1,0,0,1
"684","dictadura",1,0,1,1,0
"685","dientes",0,1,0,0,3
"686","dieron",1,0,1,0,0
"687","dieta",1,0,0,3,0
"688","dif„cil",0,0,1,0,1
"689","diferencia",0,1,0,0,2
"690","diferencias",2,0,7,0,1
"691","diferent",1,0,0,1,1
"692","diferente",1,28,0,0,2
"693","difÌcil",2,1,0,0,0
"694","diga",0,1,0,1,0
"695","digital",0,0,1,2,0
"696","dignidad",0,0,4,1,0
"697","digo",3,0,0,1,1
"698","dijo",3,0,3,5,6
"699","dinero",2,1,1,2,7
"700","dio",3,0,8,1,1
"701","dios",4,10,56,6,7
"702","dioxido",0,1,0,1,0
"703","dir·",1,1,0,0,0
"704","dir„",0,0,1,2,2
"705","disc„pulos",0,0,1,0,2
"706","disfraz„",0,0,0,1,1
"707","disney",0,0,0,2,3
"708","disparada",0,1,0,1,0
"709","disponible",1,0,1,3,0
"710","distintas",0,0,1,1,0
"711","disturb",1,0,0,1,0
"712","divorcio",0,0,1,0,1
"713","dj",1,0,0,1,1
"714","documental",1,0,2,0,0
"715","dog",1,0,0,1,1
"716","dogs",1,1,0,3,1
"717","dolores",4,0,1,0,0
"718","dominar",0,1,7,0,0
"719","domingo",2,0,4,0,2
"720","don‚Äôt",0,0,0,2,1
"721","donald",0,0,1,1,0
"722","dÛnde",3,2,0,0,0
"723","dontjudgechallenge",0,1,0,0,9
"724","doritos",1,0,0,0,1
"725","dormir",2,0,0,1,0
"726","dos",16,0,12,1,6
"727","doy",0,0,1,1,0
"728","dragon",2,1,0,1,1
"729","dragÛn",2,27,0,0,0
"730","dream",0,0,1,1,0
"731","droga",4,0,0,1,1
"732","drogas",2,0,0,0,2
"733","ds",0,1,0,1,0
"734","du",1,0,0,0,1
